Supermercado,Producto,Precio,URL
DIA,,,https://diaonline.supermercadosdia.com.ar/sifon-de-soda-sin-tacc-dia-2-lt-295150/p
DIA,Jugo Cepita del Valle Naranja Tentación 1 Lt.,1.950,https://diaonline.supermercadosdia.com.ar/jugo-cepita-del-valle-naranja-tentacion-1-lt-115235/p
DIA,Detergente Ultra Limon Magistral 500 Ml.,3.505,https://diaonline.supermercadosdia.com.ar/detergente-ultra-limon-magistral-500-ml-307689/p
DIA,Cerveza Ipa Imperial lata 473 Ml.,2.550,https://diaonline.supermercadosdia.com.ar/cerveza-ipa-imperial-lata-473-ml-259711/p
DIA,Pañal Babysan P Pampers 12 Ud.,5.635,https://diaonline.supermercadosdia.com.ar/panal-babysan-p-pampers-12-ud-52718/p
DIA,Gaseosa Coca-Cola Zero 2.25 Lt.,4.400,https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-zero-225-lt-121537/p
COTO,Grooming Kit TOP HOUSE Pg-200s+,"23.999,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/grooming-kit-top-house-pg-200s-/_/R-00489670-00489670-200%3F
COTO,Afeitadora PHILIPS S1151/00 Shaver 1000 Series,"40.499,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/afeitadora-philips-s1151-00-shaver-1000-series/_/R-00582702-00582702-200%3F
COTO,Afeitadora GAMA G Blade Wet & Dry,"28.999,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/afeitadora-gama-g-blade-wet-dry/_/R-00584055-00584055-200%3F
COTO,Cubierta FATE Prestiva 175/65 R14 82 T,"96.491,85",https://www.cotodigital.com.ar/sitios/cdigi/productos/cubierta-fate-prestiva-175-65-r14-82-t/_/R-00480517-00480517-200%3F
COTO,,,https://www.cotodigital.com.ar/sitios/cdigi/productos/smart-tv-led-philips-65-4k-65pml9118-77-google-tv/_/R-00587852-00587852-200%3F
COTO,,,https://www.cotodigital.com.ar/sitios/cdigi/productos/smart-tv-led-top-house-55-4k-th5523us6g-google-tv/_/R-00594442-00594442-200%3F
COTO,,,https://www.cotodigital.com.ar/sitios/cdigi/productos/smart-tv-led-bgh-55-4k-b5523us6g-google-tv/_/R-00580779-00580779-200%3F
COTO,,,https://www.cotodigital.com.ar/sitios/cdigi/productos/smart-tv-led-ths-50-4k-ths50uhd25gs-google-tv/_/R-00600810-00600810-200%3F
